MW,AMW,Sv,Se,Sp,H%,C%,N%,O%,D/Dtr06,ZM1Kup,CENT,Psi_e_1,X2v,VE1_A,VE1_Dz(Z),Chi_Dz(p),SpMAD_Dz(p),ATSC2m,ATSC3m,ATSC3s,Eta_F,Eta_B,SpMax_EA(ed),SM08_EA,SsOH,SdO,SsCl,AMR,MLOGP2
88.07,8.807,6.198,10.749,5.886,40,30,0,30,0,167.207,10,0.834,0.947,2.205,2.132,0.397,5.378,4.628,4.253,22.964,2.766,0.106,6.174,7.929,0,9.799,0,17.067,0.474
98.96,12.37,5.235,8.298,6,50,25,0,0,0,62.407,4,0.415,1.134,1.946,2,0.728,2.287,9.289,14.543,16.111,0.386,0,2,0,0,0,10.108,20.656,3.301
118.2,5.373,11.117,21.84,12.239,63.6,27.3,0,9.1,0,113.471,40,0.946,1.394,2.673,2.59,0.205,9.63,9.268,8.936,16.025,2.081,0,3.57,0.787,0,0,0,33.552,0.499
90.14,5.634,8.064,16.073,8.716,62.5,25,0,12.5,0,105.471,16,0.648,0.986,2.342,2.277,0.258,7.745,6.806,5.275,10,1.988,0,3.162,0.787,0,0,0,24.056,0.007
90.14,5.634,8.064,16.073,8.716,62.5,25,0,12.5,0,93.885,16,0.688,0.921,2.342,2.203,0.27,7.041,6.584,6.435,24.672,1.621,0,3.162,0.469,8.072,0,0,24.053,0.007
44.06,6.294,3.768,7.095,3.977,57.1,28.6,0,14.3,0,55.736,0,0.402,0.612,-99,1.414,0.938,2.4,2.647,0.774,1,0.504,0,4,0.469,0,0,0,11.044,0.319
60.12,5.01,5.623,11.854,6.296,66.7,16.7,16.7,0,0,28.624,4,0.415,0.577,1.946,1.89,0.506,3.498,3.868,3.667,15.757,0.991,0,2,0,0,0,0,17.869,1.109
46.03,9.206,2.956,5.538,2.67,40,20,0,40,0,89.885,2,0.241,0.105,1.707,1.664,0.573,2.954,1.251,0.852,14.4,1.357,0,1,3.619,6.889,8.361,0,8.051,1.056
75.08,7.508,5.505,10.524,5.438,50,20,10,20,0,111.197,11,0.596,0.598,2.131,2.134,0.473,4.249,3.418,4.458,56.104,2.479,0.144,4.842,6.962,7.597,9.243,0,16.154,11.813
58.04,9.673,3.956,6.538,3.67,33.3,33.3,0,33.3,0,113.471,4,0.397,0.272,1.946,1.985,0.666,2.669,1.246,1.558,36,2.231,0,2,0,0,17.611,0,12.588,1.705
110.12,7.866,9.01,14.305,9.193,42.9,42.9,0,14.3,22.133,134.299,12,1.15,1.516,2.742,2.524,0.599,4.398,3.619,5.854,23.907,5.617,0.212,6.623,0,17.291,0,0,29.446,0.798
33.04,6.608,2.263,5.313,2.222,60,0,20,20,0,43.462,0,0.096,0,1.414,1.413,0.384,3.533,1.233,0.434,5.12,0.513,-99,0,0,6.5,0,0,7.849,4.523
68.09,7.566,5.57,9.087,5.773,44.4,33.3,22.2,0,0,73.978,0,0.645,0.761,-99,1.985,0.882,2.376,2.938,2.782,4.975,2.535,0,4,0,0,0,0,19.013,0.134
116.18,5.809,10.59,19.956,11.477,60,30,0,10,0,127.471,36,1.005,2.196,2.683,2.611,0.271,7.133,8.264,9.212,23.659,2.831,0.288,5.547,7.208,0,10.126,0,31.157,1.886
86.2,4.31,9.688,19.185,11.33,70,30,0,0,0,20,16,0.718,2.183,2.313,2.235,0.525,3.686,6.409,6.82,4.081,0,0.144,5.118,0,0,0,0,29.356,12.363
60.11,5.009,5.822,11.862,6.5,66.7,25,0,8.3,0,44.15,6,0.44,1.094,1.932,1.414,0.571,3.234,4.124,4.157,20.608,0.64,0.182,4,0,8.056,0,0,17.428,0.12
102.15,6.009,9.064,17.073,9.716,58.8,29.4,0,11.8,0,123.471,26,0.861,1.658,2.5,2.441,0.297,6.433,7.047,7.815,30.013,2.671,0.288,6,7.208,0,10.032,0,26.579,0.991
59.13,4.548,6.129,12.636,7.051,69.2,23.1,7.7,0,0,21.312,6,0.431,1.244,1.932,1.414,0.657,2.777,4.035,3.917,10.141,0.542,0.182,4,0,0,0,0,19.085,0.12
90.09,7.508,6.725,12.633,6.648,50,25,0,25,0,140.035,16,0.808,1.014,2.309,2.384,0.442,4.813,4.381,6.213,83,2.999,0.271,6.745,7.095,15.771,9.449,0,18.914,0.494
126.15,8.41,9.128,15.611,9.034,40,20,40,0,26,164.872,24,1.241,1.41,2.868,-99,0.446,5.319,4.473,4.705,18.226,7.309,0.318,7.583,0,0,0,0,36.461,0
86.1,7.175,7.01,12.305,7.193,50,33.3,0,16.7,0,117.885,16,0.747,1.085,2.309,2.38,0.546,3.834,3.912,3.834,22.642,3.564,0.271,6.745,3.619,7.891,9.6,0,21.649,0.229
96.12,10.68,5.385,9.826,5.534,44.4,11.1,0,33.3,0,148.481,12,0.887,2.199,2.121,1.816,0.96,2.339,8.417,4.012,83.796,3.024,0.414,9,9.279,7.493,18.375,0,16.903,2.449
32.05,5.342,2.768,6.095,2.977,66.7,16.7,0,16.7,0,34.15,0,0.111,0,1.414,1.409,0.674,2.28,1.551,0.39,3,0.456,-99,0,0,7,0,0,8.261,0.663
86.1,7.175,7.01,12.305,7.193,50,33.3,0,16.7,0,125.471,20,0.683,0.727,2.301,2.043,0.393,5.237,4.468,3.364,17.867,3.627,0.106,5.653,4.825,0,9.84,0,22.136,0.229
72.12,5.548,6.822,12.862,7.5,61.5,30.8,0,7.7,0,69.736,11,0.58,1.056,2.131,2.078,0.634,3.039,4.548,4.885,24.23,1.565,0.144,4.842,6.279,0,9.813,0,20.822,0.429
60.06,7.508,4.483,8.422,4.432,50,25,0,25,0,105.471,4,0.369,0.332,1.946,1.845,0.376,4.851,3.431,1.076,3.105,1.858,0,2,4.825,0,8.951,0,12.82,0.149
141.94,28.388,3.37,4.836,5.182,60,20,0,0,0,15.649,0,0.132,0,1.414,1.117,1.743,0.47,71.685,0,0,-0.813,-99,0,0,0,0,0,19.643,1.86
