new_datetime,air_conc_mole,aerosol_conc_mole,fw_conc_mole,fwSusSed_conc_mole,sw_conc_mole,swSusSed_conc_mole,urban_conc_mole,urban_air_conc_mole,urban_water_conc_mole,urban_solid_conc_mole,natural_conc_mole,natural_air_conc_mole,natural_water_conc_mole,natural_solid_conc_mole,agricultural_conc_mole,agricultural_air_conc_mole,agricultural_water_conc_mole,agricultural_solid_conc_mole,fw_sed_conc_mole,fw_sed_water_conc_mole,fw_sed_solid_conc_mole,sw_sed_conc_mole,sw_sed_water_conc_mole,sw_sed_solid_conc_mole,deep_urban_conc_mole,deep_natural_conc_mole,deep_agricultural_conc_mole 
2008-09-20 00:00:00,1.0550328334654567e-12,0.00025658398058038236,2.0045505127745923e-08,4.494255254747796e-05,2.6336560609588782e-08,5.9504656902133375e-05,1.0980185906343283e-07,2.8508047947906003e-13,3.6725479988536285e-11,2.1339854304058844e-07,1.1749803520380873e-07,2.0036125345602152e-13,2.581152949413942e-11,2.85448672214508e-07,1.078270906301691e-07,1.2258744503296834e-13,1.5792322110692822e-11,1.7464665852926742e-07,1.1813262613841725e-06,6.122363340263048e-10,5.737878922494527e-06,3.1671668221042916e-07,1.0260527368126731e-10,1.5385865999053393e-06,1.1923857139135158e-12,8.380366718876436e-13,5.1273773086665e-13
2008-09-21 00:00:00,1.8537985804159308e-12,0.0004486620910471692,1.9249666805119858e-08,4.294941124843572e-05,2.5778650867475462e-08,5.796226523020098e-05,3.369920318868824e-08,8.707042962951579e-14,1.1216844193595231e-11,6.51770435450722e-08,3.606123062376683e-08,6.119514198728405e-14,7.883461423091638e-12,8.718288453951348e-08,3.309312854431709e-08,3.7441151795836036e-14,4.823354701586037e-12,5.334128671065191e-08,1.1344257365860819e-06,5.850844823188848e-10,5.483411768292589e-06,3.1000740361044845e-07,9.994569159372387e-11,1.498705634586208e-06,3.641832530388061e-13,2.5595653971076734e-13,1.5660242537616995e-13
2008-09-22 00:00:00,1.998888160786507e-12,0.00048332980508211177,1.9107545621272934e-08,4.2592894452196576e-05,2.567783487181242e-08,5.76822001964046e-05,1.9890704205766873e-08,5.1345154491668924e-14,6.614537225550721e-12,3.8434694584274044e-08,2.1284873343060445e-08,3.608657994276843e-14,4.648852043340988e-12,5.1411468793226245e-08,1.9532973151703e-08,2.207892773106923e-14,2.8443168751415044e-12,3.145518654951489e-08,1.1260502186977848e-06,5.802277813979106e-10,5.437894767261219e-06,3.0879501646037706e-07,9.946276889595088e-11,1.4914641121485627e-06,2.1475770212827005e-13,1.5093675465392808e-13,9.234795049160722e-14
2008-09-23 00:00:00,1.8790319639901084e-12,0.0004486758813656605,1.951291498140744e-08,4.2953432644753465e-05,2.6127708657385695e-08,5.795997850490179e-05,3.415790724056726e-08,8.707310587290642e-14,1.121718896053005e-11,6.517904686161433e-08,3.6552085927088e-08,6.11970229139658e-14,7.883703733387089e-12,8.718556423937848e-08,3.3543582879027484e-08,3.744230260714427e-14,4.823502954801227e-12,5.334292623702858e-08,1.1499395379060376e-06,5.851392643639552e-10,5.483925185618988e-06,3.1420508252376204e-07,9.994174853972822e-11,1.4986465077029327e-06,3.6419444677045614e-13,2.5596440692815216e-13,1.5660723879224756e-13
2008-09-24 00:00:00,2.0197407660885846e-12,0.000483320639178195,1.9306118916361097e-08,4.2590413265873756e-05,2.5946839499797014e-08,5.7683620315875275e-05,2.009820606210886e-08,5.134418077817615e-14,6.614411786953666e-12,3.843396570574445e-08,2.1506919314133133e-08,3.608589559406705e-14,4.6487638821502125e-12,5.1410493822143907e-08,1.9736743121178566e-08,2.2078509024571013e-14,2.8442629352956427e-12,3.1454590030917094e-08,1.1377525852284511e-06,5.801939810832375e-10,5.437577990712102e-06,3.1202999670466583e-07,9.946521764121783e-11,1.4915008315735895e-06,2.147536294465478e-13,1.509338922776045e-13,9.234619919791059e-14
2008-09-25 00:00:00,2.0213971508305445e-12,0.00048331137261034557,1.932118134811588e-08,4.258789841211741e-05,2.5969264347126338e-08,5.76850597406034e-05,2.0114688554526198e-08,5.1343196370939454e-14,6.614284970735531e-12,3.8433228822354706e-08,2.1524557089038022e-08,3.608520372955141e-14,4.648674752735002e-12,5.140950814350628e-08,1.9752929178672077e-08,2.2078085719656413e-14,2.8442084030589966e-12,3.145398696109332e-08,1.1386402478779498e-06,5.80159722129148e-10,5.437256915794375e-06,3.1229967213231574e-07,9.946769967499237e-11,1.4915380501664458e-06,2.1474951203686773e-13,1.5093099846542198e-13,9.234442867074655e-14
2008-09-26 00:00:00,2.0176122972049095e-12,0.0004833279144923602,1.9286375836610523e-08,4.2592384587878974e-05,2.591859873283722e-08,5.7682492009217636e-05,2.007702591516172e-08,5.1344953650293414e-14,6.6145113521695245e-12,3.843454424337032e-08,2.148425461908295e-08,3.6086438786734835e-14,4.648833858921288e-12,5.141126769245616e-08,1.9715943895701787e-08,2.2078841367277765e-14,2.844305749329941e-12,3.145506350960984e-08,1.1365890815680884e-06,5.802208356985019e-10,5.43782967216636e-06,3.116903805282344e-07,9.946327207561961e-11,1.491471657428331e-06,2.1475686208342655e-13,1.5093616425069166e-13,9.234758926395939e-14
2008-09-27 00:00:00,1.875146240184242e-12,0.00044738449097582976,1.9533732229182444e-08,4.2964343369312066e-05,2.615420630622185e-08,5.797164990447609e-05,3.470438708841306e-08,8.839432513836384e-14,1.1387394973171438e-11,6.616805272690887e-08,3.713686936288817e-08,6.212560683034281e-14,8.003328514785304e-12,8.850848991187006e-08,3.4080234376405044e-08,3.801044004811086e-14,4.896693235163757e-12,5.4152334619946565e-08,1.1511663446804063e-06,5.852878972658867e-10,5.485318173175889e-06,3.145237364114192e-07,9.996187380739484e-11,1.4989482901166468e-06,3.6972061601205976e-13,2.5984832840212044e-13,1.5898354659622597e-13
2008-09-28 00:00:00,1.8571912039464775e-12,0.0004473572901571501,1.9344276175410018e-08,4.295636780178171e-05,2.59073739072899e-08,5.797618422618005e-05,3.437208312489893e-08,8.838895079468659e-14,1.1386702623588149e-11,6.616402973272624e-08,3.6781273718730684e-08,6.212182961543964e-14,8.002841915244739e-12,8.850310862701495e-08,3.3753906845193545e-08,3.8008129026811435e-14,4.896395517948464e-12,5.414904217717134e-08,1.1400012774858759e-06,5.851792489593309e-10,5.48429992124685e-06,3.1155539367256865e-07,9.99696924445169e-11,1.49906553214402e-06,3.6969813712948545e-13,2.5983252971573835e-13,1.5897388045287226e-13
2008-09-29 00:00:00,1.8481401810291777e-12,0.0004486399351533703,1.9188956306673112e-08,4.294291696732497e-05,2.5702872798594634e-08,5.796595844478099e-05,3.359634220224054e-08,8.706612990544642e-14,1.1216290281834754e-11,6.517382496324029e-08,3.5951159957297086e-08,6.119212004026886e-14,7.883072120902882e-12,8.717857926218012e-08,3.299211749584661e-08,3.7439302871669164e-14,4.823116514013127e-12,5.3338652603810606e-08,1.130847931701654e-06,5.849960130479153e-10,5.482582634285061e-06,3.090961161072689e-07,9.995205989013078e-11,1.498801128464489e-06,3.641652688907388e-13,2.5594390002931437e-13,1.565946920134133e-13
