new_datetime,air_fugacity,aerosol_fugacity,fw_fugacity,fwSusSed_fugacity,sw_fugacity,swSusSed_fugacity,urban_fugacity,urban_air_fugacity,urban_water_fugacity,urban_solid_fugacity,natural_fugacity,natural_air_fugacity,natural_water_fugacity,natural_solid_fugacity,agricultural_fugacity,agricultural_air_fugacity,agricultural_water_fugacity,agricultural_solid_fugacity,fw_sed_fugacity,fw_sed_water_fugacity,fw_sed_solid_fugacity,sw_sed_fugacity,sw_sed_water_fugacity,sw_sed_solid_fugacity,deep_urban_fugacity,deep_natural_fugacity,deep_agricultural_fugacity 
2007-05-30 00:00:00,4.567863310649744e-09,4.567863310649744e-09,3.3462469415358523e-07,3.3462469415358523e-07,4.542200992160787e-07,4.542200992160787e-07,1.218902554617512e-10,1.218902554617512e-10,1.218902554617512e-10,1.218902554617512e-10,8.566733300371411e-11,8.566733300371411e-11,8.566733300371411e-11,8.566733300371411e-11,5.241402364264453e-11,5.241402364264453e-11,5.241402364264453e-11,5.241402364264453e-11,1.06805013884207e-08,1.06805013884207e-08,1.06805013884207e-08,1.8350899808851679e-09,1.8350899808851679e-09,1.8350899808851679e-09,1.532534535268982e-14,1.0771012487850432e-14,6.590051112819583e-15
2007-05-31 00:00:00,4.569339890613511e-09,4.569339890613511e-09,3.34727091506936e-07,3.34727091506936e-07,4.543755622686369e-07,4.543755622686369e-07,1.2192965697111192e-10,1.2192965697111192e-10,1.2192965697111192e-10,1.2192965697111192e-10,8.569502530947287e-11,8.569502530947287e-11,8.569502530947287e-11,8.569502530947287e-11,5.243096668403342e-11,5.243096668403342e-11,5.243096668403342e-11,5.243096668403342e-11,1.0683769691967154e-08,1.0683769691967154e-08,1.0683769691967154e-08,1.835718065575035e-09,1.835718065575035e-09,1.835718065575035e-09,1.5330299331464288e-14,1.0774494260431502e-14,6.592181373024772e-15
2007-06-01 00:00:00,4.581720232518167e-09,4.581720232518167e-09,3.355906667465155e-07,3.355906667465155e-07,4.5567165760850575e-07,4.5567165760850575e-07,1.222600177842177e-10,1.222600177842177e-10,1.222600177842177e-10,1.222600177842177e-10,8.592721064439158e-11,8.592721064439158e-11,8.592721064439158e-11,8.592721064439158e-11,5.25730251234315e-11,5.25730251234315e-11,5.25730251234315e-11,5.25730251234315e-11,1.0711333158461055e-08,1.0711333158461055e-08,1.0711333158461055e-08,1.8409544071120347e-09,1.8409544071120347e-09,1.8409544071120347e-09,1.5371835822897993e-14,1.0803687081711412e-14,6.610042477965369e-15
2007-06-02 00:00:00,4.223933433835166e-09,4.223933433835166e-09,3.3773351472535516e-07,3.3773351472535516e-07,4.5849226511884215e-07,4.5849226511884215e-07,2.136717850431281e-10,2.136717850431281e-10,2.136717850431281e-10,2.136717850431281e-10,1.5017354663377209e-10,1.5017354663377209e-10,1.5017354663377209e-10,1.5017354663377209e-10,9.188099533133652e-11,9.188099533133652e-11,9.188099533133652e-11,9.188099533133652e-11,1.0779728262627119e-08,1.0779728262627119e-08,1.0779728262627119e-08,1.852349914689002e-09,1.852349914689002e-09,1.852349914689002e-09,2.6865099966413633e-14,1.8881422934772815e-14,1.1552260510631818e-14
2007-06-03 00:00:00,4.255615988891924e-09,4.255615988891924e-09,3.3941574918242145e-07,3.3941574918242145e-07,4.599464051620447e-07,4.599464051620447e-07,2.1120582493244765e-10,2.1120582493244765e-10,2.1120582493244765e-10,2.1120582493244765e-10,1.4844041197772212e-10,1.4844041197772212e-10,1.4844041197772212e-10,1.4844041197772212e-10,9.08206079274921e-11,9.08206079274921e-11,9.08206079274921e-11,9.08206079274921e-11,1.0833421572679424e-08,1.0833421572679424e-08,1.0833421572679424e-08,1.858224771016783e-09,1.858224771016783e-09,1.858224771016783e-09,2.6555053111732987e-14,1.866351472672072e-14,1.1418937275644774e-14
2007-06-04 00:00:00,4.252905346521059e-09,4.252905346521059e-09,3.4046071441470316e-07,3.4046071441470316e-07,4.6102104557199623e-07,4.6102104557199623e-07,2.1513735745251346e-10,2.1513735745251346e-10,2.1513735745251346e-10,2.1513735745251346e-10,1.512035853284999e-10,1.512035853284999e-10,1.512035853284999e-10,1.512035853284999e-10,9.251120606167363e-11,9.251120606167363e-11,9.251120606167363e-11,9.251120606167363e-11,1.0866774618073958e-08,1.0866774618073958e-08,1.0866774618073958e-08,1.8625664147546098e-09,1.8625664147546098e-09,1.8625664147546098e-09,2.7049367389827553e-14,1.9010930405764117e-14,1.1631497337651325e-14
2007-06-05 00:00:00,3.581074829684694e-09,3.581074829684694e-09,3.438908200096942e-07,3.438908200096942e-07,4.624672833394653e-07,4.624672833394653e-07,3.808707095617385e-10,3.808707095617385e-10,3.808707095617385e-10,3.808707095617385e-10,2.6768487590564593e-10,2.6768487590564593e-10,2.6768487590564593e-10,2.6768487590564593e-10,1.6377819785621896e-10,1.6377819785621896e-10,1.6377819785621896e-10,1.6377819785621896e-10,1.097625622002924e-08,1.097625622002924e-08,1.097625622002924e-08,1.868409345178958e-09,1.868409345178958e-09,1.868409345178958e-09,4.78871353304308e-14,3.36562028966561e-14,2.0591945056472016e-14
2007-06-06 00:00:00,4.5639121501133664e-09,4.5639121501133664e-09,3.3409579541792463e-07,3.3409579541792463e-07,4.5418639126551535e-07,4.5418639126551535e-07,1.217848214908995e-10,1.217848214908995e-10,1.217848214908995e-10,1.217848214908995e-10,8.5593231533858e-11,8.5593231533858e-11,8.5593231533858e-11,8.5593231533858e-11,5.236868598525737e-11,5.236868598525737e-11,5.236868598525737e-11,5.236868598525737e-11,1.0663620076971628e-08,1.0663620076971628e-08,1.0663620076971628e-08,1.8349537977385795e-09,1.8349537977385795e-09,1.8349537977385795e-09,1.5312089067278917e-14,1.0761695659262403e-14,6.584350778085619e-15
2007-06-07 00:00:00,4.586901782944615e-09,4.586901782944615e-09,3.357263365786419e-07,3.357263365786419e-07,4.5655272334545987e-07,4.5655272334545987e-07,1.223982838535406e-10,1.223982838535406e-10,1.223982838535406e-10,1.223982838535406e-10,8.602438728381138e-11,8.602438728381138e-11,8.602438728381138e-11,8.602438728381138e-11,5.263248091010625e-11,5.263248091010625e-11,5.263248091010625e-11,5.263248091010625e-11,1.0715663448053276e-08,1.0715663448053276e-08,1.0715663448053276e-08,1.844513991791744e-09,1.844513991791744e-09,1.844513991791744e-09,1.5389220110550074e-14,1.0815905167182486e-14,6.617517894770059e-15
2007-06-08 00:00:00,4.596821338687065e-09,4.596821338687065e-09,3.36483669731504e-07,3.36483669731504e-07,4.5749311571357944e-07,4.5749311571357944e-07,1.2266298029940297e-10,1.2266298029940297e-10,1.2266298029940297e-10,1.2266298029940297e-10,8.621042215991115e-11,8.621042215991115e-11,8.621042215991115e-11,8.621042215991115e-11,5.2746303017698005e-11,5.2746303017698005e-11,5.2746303017698005e-11,5.2746303017698005e-11,1.073983589537101e-08,1.073983589537101e-08,1.073983589537101e-08,1.8483132613877295e-09,1.8483132613877295e-09,1.8483132613877295e-09,1.542250057608938e-14,1.0839295459647417e-14,6.631828826361821e-15
