new_datetime,air_conc_mass,aerosol_conc_mass,fw_conc_mass,fwSusSed_conc_mass,sw_conc_mass,swSusSed_conc_mass,urban_conc_mass,urban_air_conc_mass,urban_water_conc_mass,urban_solid_conc_mass,natural_conc_mass,natural_air_conc_mass,natural_water_conc_mass,natural_solid_conc_mass,agricultural_conc_mass,agricultural_air_conc_mass,agricultural_water_conc_mass,agricultural_solid_conc_mass,fw_sed_conc_mass,fw_sed_water_conc_mass,fw_sed_solid_conc_mass,sw_sed_conc_mass,sw_sed_water_conc_mass,sw_sed_solid_conc_mass,deep_urban_conc_mass,deep_natural_conc_mass,deep_agricultural_conc_mass 
2007-11-17 00:00:00,4.707411925425824e-13,0.00011618864176776472,5.57341631835375e-09,1.2681777342474465e-05,7.435596833370499e-09,1.7050049326451826e-05,1.542557435226468e-08,4.064592762023267e-14,5.236209803491633e-12,3.0425730132560614e-08,1.6506775875573224e-08,2.8566912125145114e-14,3.680131173847536e-12,4.069842344633294e-08,1.5148147926558933e-08,1.7478153632491265e-14,2.2516223581480596e-12,2.490060159386506e-08,3.2845383643563656e-07,1.7275932115542741e-10,1.619100357868666e-06,8.941856889475774e-08,2.939979941900943e-11,4.4085587224793025e-07,1.7000681180167637e-13,1.1948477837167324e-13,7.310462201779415e-14
2007-11-18 00:00:00,4.3235092662267926e-13,0.00010676965072062667,5.613329625983873e-09,1.277936106917539e-05,7.46466313714336e-09,1.7125764829690198e-05,1.9100226223904128e-08,5.035518123037621e-14,6.487003964545868e-12,3.7693644716548804e-08,2.0438989579953233e-08,3.5390803494366875e-14,4.559218673567794e-12,5.0420216942239285e-08,1.8756711786745355e-08,2.1653229370470876e-14,2.7894763029217714e-12,3.0848706854959746e-08,3.308060165469229e-07,1.740886693946688e-10,1.631559009566836e-06,8.976811276388808e-08,2.953035743473693e-11,4.4281361580536725e-07,2.1061701183590481e-13,1.4802658031064268e-13,9.056741243252506e-14
2007-11-19 00:00:00,2.6552623191496155e-13,6.58102668476615e-05,5.778385020303467e-09,1.3202916076983825e-05,7.58082000177409e-09,1.7455437508171098e-05,3.498698864695819e-08,9.25735690715418e-14,1.1925785885504711e-11,6.929644849774908e-08,3.7439278886349905e-08,6.506287757746707e-14,8.381722287103723e-12,9.269313150418856e-08,3.43577533922522e-08,3.9807556556663126e-14,5.128206688812036e-12,5.671263264330475e-08,3.4053309853613983e-07,1.7985860791707854e-10,1.68563487339886e-06,9.116498524572673e-08,3.0098819756205364e-11,4.5133782200825063e-07,3.8720084043846475e-13,2.7213384049038067e-13,1.6650021716922205e-13
2007-11-20 00:00:00,5.242064474661542e-13,0.00013058530913990206,5.456748195038299e-09,1.2531499587024365e-05,7.317496780381396e-09,1.693490784202266e-05,9.701783827441537e-09,2.5801073812882525e-14,3.323822177264738e-12,1.931353409610158e-08,1.0381796332227135e-08,1.8133600375258914e-14,2.3360602554009746e-12,2.5834396922069163e-08,9.527298835910452e-09,1.1094718668945616e-14,1.4292766351430636e-12,1.5806313136981735e-08,3.215783240920647e-07,1.7071214099170006e-10,1.599914185374213e-06,8.799832813112641e-08,2.9201258260435027e-11,4.378787078668754e-07,1.0791630445664743e-13,7.584611218834341e-14,4.640508555659303e-14
2007-11-21 00:00:00,5.657036452748873e-13,0.00014106603028815007,5.402717796190804e-09,1.2420037828281526e-05,7.274343827526608e-09,1.685216205009152e-05,5.6292513493398265e-09,1.4985744811332306e-14,1.9305379034986557e-12,1.121766076358543e-08,6.023813975988429e-09,1.0532333255006881e-14,1.3568273594045303e-12,1.5005099494560326e-08,5.528010186736545e-09,6.444019498263217e-15,8.301505229739405e-13,9.18060142754789e-09,3.183941923545581e-07,1.6919373728099076e-10,1.5856837057974457e-06,8.747938185494579e-08,2.9058577753243264e-11,4.357391851254334e-07,6.26798020616447e-14,4.4052836344302955e-14,2.6952939057595494e-14
2007-11-22 00:00:00,5.661611425253814e-13,0.00014106723378470398,5.407183173201326e-09,1.2420364480773885e-05,7.280083872897084e-09,1.6851975084082906e-05,5.63380385140725e-09,1.498587266133419e-14,1.930554373769417e-12,1.1217756466399525e-08,6.028685569718683e-09,1.0532423110989578e-14,1.3568389350974732e-12,1.5005227509685553e-08,5.532480812800667e-09,6.444074475037166e-15,8.301576053543799e-13,9.180679751309875e-09,3.186573469668212e-07,1.6919818715117138e-10,1.5857254099807785e-06,8.754841015945467e-08,2.9058255363375294e-11,4.357343508248852e-07,6.268033681069534e-14,4.405321217848936e-14,2.695316900501232e-14
2007-11-23 00:00:00,5.684520321272698e-13,0.00014107291830156538,5.42951884438287e-09,1.2421908882621508e-05,7.308863738111798e-09,1.685109110681482e-05,5.6566002280796225e-09,1.4986476539666117e-14,1.930632168368455e-12,1.1218208502808477e-08,6.0530797784471725e-09,1.0532847530857751e-14,1.3568936109679635e-12,1.5005832167950267e-08,5.554867200376047e-09,6.444334148733368e-15,8.301910578066518e-13,9.181049700641448e-09,3.1997363781428304e-07,1.6921922598568023e-10,1.585922585937795e-06,8.789450939239509e-08,2.905673110066642e-11,4.3571149420071303e-07,6.268286260936543e-14,4.405498736908975e-14,2.69542551235926e-14
2007-11-24 00:00:00,5.661298680621553e-13,0.00014107666263455824,5.4076350495191515e-09,1.2422918921158949e-05,7.278563652834676e-09,1.6850513025791638e-05,5.633492642851699e-09,1.498687430813386e-14,1.9306834108734793e-12,1.1218506254557873e-08,6.028352548091109e-09,1.0533127091874796e-14,1.3569296254034512e-12,1.5006230450151748e-08,5.532175201279968e-09,6.444505193135516e-15,8.302130925940903e-13,9.18129338247434e-09,3.18683977044624e-07,1.6923298537975865e-10,1.586051538979098e-06,8.753012838524985e-08,2.9055734302017688e-11,4.3569654700561555e-07,6.268452632706106e-14,4.405615666894327e-14,2.6954970538769197e-14
2007-11-25 00:00:00,5.662585931252732e-13,0.00014107520252508416,5.408748140779479e-09,1.2422522817264024e-05,7.280391935439947e-09,1.685073974258758e-05,5.6347735710219584e-09,1.4986719197594982e-14,1.930663428765263e-12,1.1218390145720587e-08,6.029723258428134e-09,1.053301807654674e-14,1.3569155815087017e-12,1.5006075139281472e-08,5.533433092167092e-09,6.444438494059194e-15,8.302045000885735e-13,9.18119835829953e-09,3.1874957399160845e-07,1.6922758939793792e-10,1.5860009678374743e-06,8.755211484010502e-08,2.905612523509933e-11,4.357024091253615e-07,6.268387755731378e-14,4.405570069833454e-14,2.6954691561317356e-14
2007-11-26 00:00:00,5.66635445118579e-13,0.00014107487073712047,5.412321627472452e-09,1.2422433693740047e-05,7.285276310974311e-09,1.6850790749061245e-05,5.6385235814904015e-09,1.4986683951053022e-14,1.9306588881310745e-12,1.1218363761729946e-08,6.03373611272581e-09,1.0532993304449607e-14,1.3569123902443992e-12,1.5006039847217198e-08,5.5371156593120725e-09,6.444423337695162e-15,8.302025475706565e-13,9.181176765481986e-09,3.189601675210911e-07,1.6922637530001727e-10,1.5859895893117619e-06,8.761085307995518e-08,2.9056213186756602e-11,4.357037279780525e-07,6.268373013412579e-14,4.405559708585711e-14,2.6954628167878456e-14
2007-11-27 00:00:00,5.678323473997648e-13,0.0001410749721489239,5.423763124893046e-09,1.2422463391267468e-05,7.300652359667659e-09,1.6850773739099395e-05,5.650433817243117e-09,1.4986694724244876e-14,1.9306602759870324e-12,1.121837182606129e-08,6.046481154674053e-09,1.0533000876101754e-14,1.3569133656621473e-12,1.500605063432306e-08,5.548811691427458e-09,6.444427970274939e-15,8.302031443625386e-13,9.18118336537954e-09,3.196344404459374e-07,1.6922677985882151e-10,1.5859933808368754e-06,8.779576147402584e-08,2.905618385608097e-11,4.357032881587054e-07,6.268377519438419e-14,4.405562875526458e-14,2.6954647544238295e-14
2007-11-28 00:00:00,5.676250225538136e-13,0.00014107592070919885,5.42185873416838e-09,1.2422720852918724e-05,7.297873880713552e-09,1.685062637581464e-05,5.648370751751899e-09,1.4986795491822933e-14,1.930673257365758e-12,1.1218447256179766e-08,6.044273485844192e-09,1.0533071697921204e-14,1.3569224892798631e-12,1.5006151532046432e-08,5.546785729830858e-09,6.444471301336954e-15,8.302087264846601e-13,9.181245097844796e-09,3.195222104591824e-07,1.6923028716689776e-10,1.5860262513281657e-06,8.776234820306075e-08,2.905592975411736e-11,4.356994778489407e-07,6.268419666771945e-14,4.4055924976618976e-14,2.6954828781969508e-14
2007-11-29 00:00:00,5.652100431592384e-13,0.0001410785513089794,5.399000459651375e-09,1.2423433883346409e-05,7.266513340945082e-09,1.6850218264092702e-05,5.624339571947613e-09,1.4987074946039728e-14,1.9307092580427085e-12,1.1218656443153284e-08,6.018557924789788e-09,1.0533268104905169e-14,1.3569477914007674e-12,1.5006431347189432e-08,5.523186746855447e-09,6.444591469433009e-15,8.302242071342473e-13,9.181416297729356e-09,3.1817512143324946e-07,1.692400005256268e-10,1.5861172849261748e-06,8.738521444383398e-08,2.9055226037515967e-11,4.356889254777595e-07,6.268536552086716e-14,4.4056746474050887e-14,2.695533140046257e-14
